venue,median_norm,p90,n_works
Artificial Intelligence in Medicine,0.7002652519587417,1.8362511049442773,85
Complex & Intelligent Systems,0.6997084547615364,1.689220130102366,100
Computer Methods and Programs in Biomedicine,0.6989815902632137,1.5475127300711164,130
Biomimetics,0.6987341771939626,1.585822784761952,75
Bioengineering,0.6981422622700344,1.4911716293469375,154
Applied Sciences,0.6976561476816971,1.6752894328313064,782
International Journal of Molecular Sciences,0.6974637680938304,1.6761146495801078,74
Machines,0.6932797242828423,1.651508176701125,90
Bioinformatics,0.6910384988477831,1.8798218130203892,149
IEEE Geoscience and Remote Sensing Letters,0.6904761904545197,1.8674242423656326,116
IEEE Transactions on Mobile Computing,0.6856634015814798,1.7509414033515183,70
Frontiers in Medicine,0.6830035971032618,1.958122357019384,74
Humanities and Social Sciences Communications,0.6805555555453762,2.0392032538488367,62
Communications Biology,0.6793794801614468,1.7025366678329814,66
IEEE Transactions on Geoscience and Remote Sensing,0.6789378394504815,1.6546273418944795,800
Computers,0.6784855767955988,1.7887257542781658,62
Fuel,0.6777996070420641,1.4459724950230701,75
Computers in Biology and Medicine,0.6734913792922013,1.7568076080297763,529
Journal of Computational Physics,0.6713754646630501,1.4062934868439128,84
Sustainable Energy Grids and Networks,0.6698564592852727,1.279425837234871,50
Proceedings of the National Academy of Sciences,0.6679389312798643,1.574403470650946,255
IEEE/CAA Journal of Automatica Sinica,0.6666666664444444,1.6666666661111111,108
Nano Letters,0.6625766871003049,1.8895705521008697,61
BMC Medical Informatics and Decision Making,0.6610169490068946,1.700217404824932,85
Radiology,0.6587737843445948,1.8800585457181178,80
International Journal of Computational Intelligence Systems,0.656249999784668,1.64062499946167,59
Sustainability,0.6547877937400864,1.6499251028426933,572
Proceedings of the AAAI Conference on Artificial Intelligence,0.6547483088668831,1.6630253638142933,573
Deleted Journal,0.641221373840219,1.9236641215206571,348
Neural Computing and Applications,0.6397188048894338,1.6042179261073493,275
Technologies,0.6388888887528291,1.3887204046830501,59
Nature Methods,0.6376316538454858,1.9075516469413423,155
Healthcare,0.635575942901463,2.1726732944865255,68
Future Internet,0.6352404894994459,1.841811106672099,70
Journal of the American Chemical Society,0.6325802615647586,1.861593341176289,93
Systems,0.6315789471689751,1.9869518450491637,68
Journal of King Saud University - Computer and Information Sciences,0.6296009298562868,1.408306709199935,94
Nature Human Behaviour,0.6246585658127546,1.5475324617920663,56
npj Digital Medicine,0.619257278953965,1.989384993493529,204
Algorithms,0.6177606177224549,1.6264390208780484,74
IEEE Transactions on Aerospace and Electronic Systems,0.6131386860060738,1.722084864001367,86
Journal of Medical Internet Research,0.6122931441812591,1.9191356269225963,124
IEEE Transactions on Image Processing,0.6100811123699788,1.8771726534460886,272
Science,0.6057692306469119,2.0338202570846176,110
Scientific Data,0.6046511626078962,1.4360684130403116,143
Technology in Society,0.6037886872899053,1.9708175079037664,70
Information,0.600682593834104,2.0934446493168557,133
Cureus,0.595180722864317,1.5643841250012571,148
Journal of Business Research,0.5949119373590634,1.9225473533358415,80
IEEE Transactions on Pattern Analysis and Machine Intelligence,0.5915192672035475,1.7257281550089014,450
Nature,0.5906798687442891,2.189854875830482,210
Medical Image Analysis,0.5898372633567798,1.7241379306098183,211
ACM Computing Surveys,0.5891103838064534,2.237773359747528,225
International Journal of Computer Vision,0.5821917807993213,1.6945046315846473,139
Frontiers in Public Health,0.5727536231757887,1.8679245277732293,65
ACM Transactions on Graphics,0.5690353958309673,1.3769251553440691,74
IEEE Transactions on Knowledge and Data Engineering,0.5573505654146038,1.905552658626515,164
Journal Of Big Data,0.5532105972050556,2.4202838114411573,114
Artificial Intelligence Review,0.5271317829375638,2.0576174961890206,315
Nucleic Acids Research,0.5229716476794859,1.947201767260411,54
SSRN Electronic Journal,0.5176268271519708,1.4840471098640926,204
Education Sciences,0.4502923976423857,2.5363473958293206,77
