institution_name,institution_median_norm,p90,n_works
Illinois Institute of Technology,0.8552631578666032,1.7470400199154004,57
Manipal University Jaipur,0.8551111110654103,2.253679764423536,127
Deakin University,0.8551111110654103,1.9613947695284573,538
Budapest University of Technology and Economics,0.8551111110654103,1.6312024928859765,89
Potsdam Institute for Climate Impact Research,0.8533747090476738,1.7302063127515717,81
SRM Institute of Science and Technology,0.8532731376570684,1.5176943423578841,348
University of Sassari,0.8531249999440137,2.982432562075651,56
Forschungszentrum Jülich,0.8528150328651983,1.6312024928859765,158
MIT Lincoln Laboratory,0.8525266414341005,1.1223791185073762,53
First Institute of Oceanography,0.8522703923961467,1.7658730152493545,51
Fermi National Accelerator Laboratory,0.8520203796418806,2.401886792366725,72
Shanxi Agricultural University,0.8517940717070587,1.371428571369796,148
Robert Gordon University,0.8512379782645136,1.7380808689932328,87
Quaid-i-Azam University,0.8505034760349779,1.533183352030976,100
Huzhou University,0.8503776204241356,1.8513913557671806,282
Central South University of Forestry and Technology,0.8489767464787663,1.5300546444743048,242
Lehigh University,0.8484848484521246,3.015033407412902,71
Graphic Era University,0.8484344476059709,1.6855760773344461,286
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,0.8477792593864379,1.4895316883374374,119
Suzhou University of Science and Technology,0.8467741935218306,2.094023823539766,308
State Key Laboratory of Automotive Simulation and Control,0.8467741935005852,1.8042813455105724,141
Charité - Universitätsmedizin Berlin,0.8463941492983282,2.1196950636353242,322
Yıldız Technical University,0.8459850283860887,1.310407110413587,110
Taiyuan University of Technology,0.845977011471888,2.0602409638305996,326
Bennett University,0.8454106279682724,1.8502127931395242,127
Daffodil International University,0.8452680820174385,2.671900378279056,216
Jordan University of Science and Technology,0.8450704223566753,1.2410102499903894,62
Nanyang Technological University,0.8425655976258787,1.899906260861886,1855
University of Sheffield,0.8425096030222818,2.417910447689018,227
University of Palermo,0.8425096030222818,1.8502127931395242,186
University of Sussex,0.8425096030222818,1.481385244891038,93
Universiti Tunku Abdul Rahman,0.8424810352299392,2.7428571427848043,79
National Institute Of Technology Silchar,0.8424486116262353,1.8445623608298456,140
University of Bremen,0.8421052629215143,2.043715846871689,100
